"","germplasm","predicted.value_grain_yield","predicted.value_test_weight","predicted.value_heading_time","predicted.value_plant_height","predicted.value_maturity","std.error_grain_yield","std.error_test_weight","std.error_heading_time","std.error_plant_height","std.error_maturity"
"136","2020-15726",84.7696540427083,57.237861944111,128.969283485432,34.8264120265174,160.969236849355,4.95892823304799,0.749422426230914,3.74353727118976,1.63095504516354,3.36702927317554
"137","2426",84.7456098371329,56.497936964352,131.332116941548,35.6846452532735,161.295068124384,5.03501356712925,0.761379355024641,3.75542559462754,1.75166622230022,3.36096593312665
"138","2221",84.7249424852001,56.3195871553495,129.878935690572,34.994855679374,160.26398933719,4.94431420271689,0.748603082109333,3.74344866467588,1.62840040383175,3.36274423326034
"139","21PU-0286",84.6921234142663,54.1922116447062,128.408756747166,34.1614505106506,159.006103484057,4.85912586589927,0.736558974710453,3.73911883574022,1.58846530905107,3.25461886200623
"140","21PU-0295",84.6751645043375,54.2771716531872,128.017495091293,35.2294750692467,160.911446781309,4.92984505431602,0.746347013895299,3.74484682265587,1.64262969125798,3.2693601028927
"141","21PU-0073",84.6455056690626,57.1169583522177,129.060518747696,34.4604866535074,160.137347563899,4.9438829192208,0.747080606833459,3.74660707175309,1.64424717588419,3.27077355154951
"142","MI16R0720",84.6344348768063,54.3687283848262,127.383244748772,33.8423061702644,161.468780279962,5.02953189321196,0.755887981472888,3.74225426624107,1.62598270943434,3.67304916943798
"143","OH19-129-17",84.5740596664985,56.3135666558433,128.657899440942,39.7284589486389,159.867528417423,5.02227123895407,0.755374794720718,3.74197819954524,1.62095467176351,3.70425444495664
"144","2249",84.5686553799534,55.4249944975671,129.239153126561,40.0685594199996,158.643954887714,5.16854916346272,0.777539398078609,3.74793189120394,1.66541394317881,3.72771140694826
"145","IL16LCSDH-04-T-2659-225",84.5577221791536,56.888548924883,126.468062629884,36.1518627256191,157.05352256114,5.06101747546229,0.760775348814354,3.75558447801478,1.74181391077059,3.35824887809012
"146","X17-1673-29-10-1-10",84.5573064056033,55.584391754383,130.059456847978,33.0114592315177,159.32512705769,5.05480393225116,0.76282636799016,3.75666186585876,1.76328113067215,3.36592533016183
"147","2240",84.5536682209054,55.6274390141658,128.74449984372,34.6405840697085,158.145355599966,4.95099044315237,0.748809002601148,3.74459385831989,1.63078738708385,3.36979681331948
"148","21PU-0292",84.5514707549707,54.6697206350364,128.789663457968,35.0710811357921,160.155547553465,5.16821509473496,0.784051649673042,3.75021112004295,1.70344829245481,3.46803117395209
